Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date,Neighborhoods_from_gw34_aa8i,Neighborhoods_from_5jp5_kw3x,New Neighborhoods_from_s3dq_ztay,layer_0_from_mgnu_zr5s,layer_0_from_yr99_sgmi,LA Neighborhoods_from_5ikr_59ci,City Boundaries_from_22pk_kkuz,Los Angeles Incorporated Cities,la_county_tracts_from_jczq_z5ui,DPW_CITY_BOUNDARIES_from_dmu2_xaer,Neighborhoods_from_9utn_waje_1,LA County Regions Map,Los Angeles Neighborhood Map,Regions_from_qspe_35qg,Census Tracts_from_jczq_z5ui,Neighborhoods_from_9utn_waje
Health,Asthma,Asthma-Related ER Visits,2014,79.277647,"Census Tract 5422, Los Angeles County, California",542200,Compton,1400000US06037542200,"(33.8852555, -118.1971175)",Asthma_Related_ER_Visits_2014_1400000US06037542200,01/01/2014,257,257,258,257,257,52,52,52,1350,285,55,14,55,14,1350,55
Health,Asthma,Asthma-Related ER Visits,2014,30.880138,"Census Tract 1976, Los Angeles County, California",197600,Echo Park,1400000US06037197600,"(34.0683535, -118.251864)",Asthma_Related_ER_Visits_2014_1400000US06037197600,01/01/2014,151,151,150,147,148,63,76,76,1027,305,76,3,76,3,1027,76
Health,Asthma,Asthma-Related ER Visits,2014,33.538424,"Census Tract 1810, Los Angeles County, California",181000,Eagle Rock,1400000US06037181000,"(34.1439045, -118.204552)",Asthma_Related_ER_Visits_2014_1400000US06037181000,01/01/2014,149,149,157,154,154,65,76,76,1315,305,68,6,68,6,1315,68
Health,Asthma,Asthma-Related ER Visits,2014,38.96,"Census Tract 5720.02, Los Angeles County, California",572002,Long Beach,1400000US06037572002,"(33.8228135, -118.1928235)",Asthma_Related_ER_Visits_2014_1400000US06037572002,01/01/2014,10,10,10,10,10,137,49,49,159,280,144,5,144,5,159,144
Health,Asthma,Asthma-Related ER Visits,2014,32.557017,"Census Tract 4066.01, Los Angeles County, California",406601,West Covina,1400000US06037406601,"(34.0557305, -117.916683)",Asthma_Related_ER_Visits_2014_1400000US06037406601,01/01/2014,211,211,212,216,217,255,64,64,986,322,255,10,255,10,986,255
Health,Asthma,Asthma-Related ER Visits,2014,48.06,"Census Tract 5520.02, Los Angeles County, California",552002,Norwalk,1400000US06037552002,"(33.9127735, -118.0864385)",Asthma_Related_ER_Visits_2014_1400000US06037552002,01/01/2014,12,12,33,32,32,165,60,60,562,309,170,14,170,14,562,170
Health,Asthma,Asthma-Related ER Visits,2014,20.728227,"Census Tract 1899.02, Los Angeles County, California",189902,Hollywood,1400000US06037189902,"(34.0961785, -118.3490045)",Asthma_Related_ER_Visits_2014_1400000US06037189902,01/01/2014,239,239,239,240,239,108,76,76,424,305,115,3,115,3,424,115
Health,Asthma,Asthma-Related ER Visits,2014,53.96,"Census Tract 2971.10, Los Angeles County, California",297110,San Pedro,1400000US06037297110,"(33.7346615, -118.284188)",Asthma_Related_ER_Visits_2014_1400000US06037297110,01/01/2014,20,20,19,19,19,199,76,76,860,305,207,5,207,5,860,207
Health,Asthma,Asthma-Related ER Visits,2014,52.183857,"Census Tract 1230.20, Los Angeles County, California",123020,Sun Valley,1400000US06037123020,"(34.2048255, -118.366247)",Asthma_Related_ER_Visits_2014_1400000US06037123020,01/01/2014,202,202,202,204,206,198,76,76,771,305,228,9,228,9,771,228
Health,Asthma,Asthma-Related ER Visits,2014,45.2,"Census Tract 4072, Los Angeles County, California",407200,La Puente,1400000US06037407200,"(34.0334615, -117.9610665)",Asthma_Related_ER_Visits_2014_1400000US06037407200,01/01/2014,66,68,66,65,65,126,62,62,1936,318,133,10,133,10,1936,133
Health,Asthma,Asthma-Related ER Visits,2014,50.340508,"Census Tract 2048.10, Los Angeles County, California",204810,Boyle Heights,1400000US06037204810,"(34.028574, -118.2027025)",Asthma_Related_ER_Visits_2014_1400000US06037204810,01/01/2014,73,76,75,74,74,21,76,76,463,305,32,4,32,4,463,32
Health,Asthma,Asthma-Related ER Visits,2014,48.88,"Census Tract 4043.01, Los Angeles County, California",404301,Azusa,1400000US06037404301,"(34.1275255, -117.9040845)",Asthma_Related_ER_Visits_2014_1400000US06037404301,01/01/2014,77,79,79,78,78,18,13,13,1172,230,17,10,17,10,1172,17
Health,Asthma,Asthma-Related ER Visits,2014,37.886485,"Census Tract 2113.20, Los Angeles County, California",211320,Koreatown,1400000US06037211320,"(34.0708825, -118.294158)",Asthma_Related_ER_Visits_2014_1400000US06037211320,01/01/2014,188,188,187,185,191,115,76,76,508,305,29,3,29,3,508,29
Health,Asthma,Asthma-Related ER Visits,2014,103.508317,"Census Tract 2362.04, Los Angeles County, California",236204,Baldwin Hills/Crenshaw,1400000US06037236204,"(34.014877, -118.349074)",Asthma_Related_ER_Visits_2014_1400000US06037236204,01/01/2014,246,246,247,249,249,19,76,76,219,305,19,12,19,12,219,19
Health,Asthma,Asthma-Related ER Visits,2014,40.992118,"Census Tract 5768.02, Los Angeles County, California",576802,Long Beach,1400000US06037576802,"(33.7717065, -118.1578605)",Asthma_Related_ER_Visits_2014_1400000US06037576802,01/01/2014,10,10,10,10,10,137,49,49,828,280,144,5,144,5,828,144
Health,Asthma,Asthma-Related ER Visits,2014,24.867702,"Census Tract 3014, Los Angeles County, California",301400,Glendale,1400000US06037301400,"(34.1814725, -118.284689)",Asthma_Related_ER_Visits_2014_1400000US06037301400,01/01/2014,214,214,216,220,220,86,38,38,254,15,92,15,92,15,254,92
Health,Asthma,Asthma-Related ER Visits,2014,40.370244,"Census Tract 5337.01, Los Angeles County, California",533701,Maywood,1400000US06037533701,"(33.9893075, -118.181887)",Asthma_Related_ER_Visits_2014_1400000US06037533701,01/01/2014,47,47,47,46,46,132,27,27,492,256,153,14,153,14,492,153
Health,Asthma,Asthma-Related ER Visits,2014,24.220859,"Census Tract 4808.03, Los Angeles County, California",480803,Alhambra,1400000US06037480803,"(34.09079, -118.152819)",Asthma_Related_ER_Visits_2014_1400000US06037480803,01/01/2014,160,160,162,160,165,5,30,30,120,263,5,10,5,10,120,5
Health,Asthma,Asthma-Related ER Visits,2014,60.440281,"Census Tract 1172.01, Los Angeles County, California",117201,North Hills,1400000US06037117201,"(34.242798, -118.470143)",Asthma_Related_ER_Visits_2014_1400000US06037117201,01/01/2014,67,75,73,72,72,159,76,76,1554,305,165,9,165,9,1554,165
Health,Asthma,Asthma-Related ER Visits,2014,42.14,"Census Tract 2219, Los Angeles County, California",221900,University Park,1400000US06037221900,"(34.0260705, -118.289757)",Asthma_Related_ER_Visits_2014_1400000US06037221900,01/01/2014,87,82,94,67,93,234,76,76,1199,305,238,12,238,12,1199,238
Health,Asthma,Asthma-Related ER Visits,2014,87.10166599999999,"Census Tract 2315, Los Angeles County, California",231500,Vermont Square,1400000US06037231500,"(34.0072765, -118.310826)",Asthma_Related_ER_Visits_2014_1400000US06037231500,01/01/2014,31,31,44,43,43,243,76,76,1838,305,82,12,82,12,1838,82
Health,Asthma,Asthma-Related ER Visits,2014,36.399537,"Census Tract 4313, Los Angeles County, California",431300,Mayflower Village,1400000US06037431300,"(34.1248395, -118.007363)",Asthma_Related_ER_Visits_2014_1400000US06037431300,01/01/2014,11,11,11,11,11,142,,,1044,190,152,10,152,10,1044,152
Health,Asthma,Asthma-Related ER Visits,2014,33.413732,"Census Tract 5741, Los Angeles County, California",574100,Long Beach,1400000US06037574100,"(33.814659, -118.1216115)",Asthma_Related_ER_Visits_2014_1400000US06037574100,01/01/2014,10,10,10,10,10,137,49,49,161,280,144,5,144,5,161,144
Health,Asthma,Asthma-Related ER Visits,2014,56.035552,"Census Tract 1272.10, Los Angeles County, California",127210,Van Nuys,1400000US06037127210,"(34.2080785, -118.45744)",Asthma_Related_ER_Visits_2014_1400000US06037127210,01/01/2014,21,21,32,31,31,239,76,76,325,305,244,9,244,9,325,244
Health,Asthma,Asthma-Related ER Visits,2014,35.520498,"Census Tract 1343.02, Los Angeles County, California",134302,West Hills,1400000US06037134302,"(34.2138875, -118.6216555)",Asthma_Related_ER_Visits_2014_1400000US06037134302,01/01/2014,248,248,248,246,247,256,76,76,230,305,256,9,256,9,230,256
Health,Asthma,Asthma-Related ER Visits,2014,48.88,"Census Tract 4006.02, Los Angeles County, California",400602,Azusa,1400000US06037400602,"(34.140085, -117.9115945)",Asthma_Related_ER_Visits_2014_1400000US06037400602,01/01/2014,77,79,79,78,78,18,13,13,2015,230,17,10,17,10,2015,17
